High high H Hi Hig High h gh igh High INITCAP NODIGIT 0 NOPUNCT High Xxxx Xx DIFFERENTFONT HIGHERFONT true false BASELINE false
Pressure pressure P Pr Pre Pres e re ure sure INITCAP NODIGIT 0 NOPUNCT Pressure Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Effects effects E Ef Eff Effe s ts cts ects INITCAP NODIGIT 0 NOPUNCT Effects Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
on on o on on on n on on on NOCAPS NODIGIT 0 NOPUNCT on xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
Superconductivity superconductivity S Su Sup Supe y ty ity vity INITCAP NODIGIT 0 NOPUNCT Superconductivity Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
β β β β β β β β β β NOCAPS NODIGIT 1 NOPUNCT β x x DIFFERENTFONT SAMEFONTSIZE true true BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true true BASELINE false
pyrochlore pyrochlore p py pyr pyro e re ore lore NOCAPS NODIGIT 0 NOPUNCT pyrochlore xxxx x SAMEFONT SAMEFONTSIZE true true BASELINE false
Oxides oxides O Ox Oxi Oxid s es des ides INITCAP NODIGIT 0 NOPUNCT Oxides Xxxx Xx DIFFERENTFONT SAMEFONTSIZE true false BASELINE false
AOs aos A AO AOs AOs s Os AOs AOs INITCAP NODIGIT 0 NOPUNCT AOs XXx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X SAMEFONT HIGHERFONT true false BASELINE false
6 6 6 6 6 6 6 6 6 6 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( SAMEFONT HIGHERFONT true false BASELINE false
A a A A A A A A A A ALLCAPS NODIGIT 1 NOPUNCT A X X SAMEFONT SAMEFONTSIZE true false BASELINE false
= = = = = = = = = = ALLCAPS NODIGIT 1 NOPUNCT = = = SAMEFONT SAMEFONTSIZE true false BASELINE false
K k K K K K K K K K ALLCAPS NODIGIT 1 NOPUNCT K X X SAMEFONT SAMEFONTSIZE true false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
