Evidence evidence E Ev Evi Evid e ce nce ence INITCAP NODIGIT 0 NOPUNCT Evidence Xxxx Xx DIFFERENTFONT HIGHERFONT true false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
Inhomogeneous inhomogeneous I In Inh Inho s us ous eous INITCAP NODIGIT 0 NOPUNCT Inhomogeneous Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Superconductivity superconductivity S Su Sup Supe y ty ity vity INITCAP NODIGIT 0 NOPUNCT Superconductivity Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
FeTe fete F Fe FeT FeTe e Te eTe FeTe INITCAP NODIGIT 0 NOPUNCT FeTe XxXXx XxXx SAMEFONT SAMEFONTSIZE true false BASELINE true
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true false SUBSCRIPT true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x SAMEFONT SAMEFONTSIZE true false SUBSCRIPT true
Se se S Se Se Se e Se Se Se INITCAP NODIGIT 0 NOPUNCT Se Xx Xx SAMEFONT HIGHERFONT true false BASELINE true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x DIFFERENTFONT LOWERFONT true true SUBSCRIPT false
Thin thin T Th Thi Thin n in hin Thin INITCAP NODIGIT 0 NOPUNCT Thin Xxxx Xx DIFFERENTFONT HIGHERFONT true false BASELINE false
Film film F Fi Fil Film m lm ilm Film INITCAP NODIGIT 0 NOPUNCT Film Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Using using U Us Usi Usin g ng ing sing INITCAP NODIGIT 0 NOPUNCT Using Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Scotch scotch S Sc Sco Scot h ch tch otch INITCAP NODIGIT 0 NOPUNCT Scotch Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true false BASELINE false
Tape tape T Ta Tap Tape e pe ape Tape INITCAP NODIGIT 0 NOPUNCT Tape Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Method method M Me Met Meth d od hod thod INITCAP NODIGIT 0 NOPUNCT Method Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false


We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
have have h ha hav have e ve ave have NOCAPS NODIGIT 0 NOPUNCT have xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
fabricated fabricated f fa fab fabr d ed ted ated NOCAPS NODIGIT 0 NOPUNCT fabricated xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
thin thin t th thi thin n in hin thin NOCAPS NODIGIT 0 NOPUNCT thin xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
films films f fi fil film s ms lms ilms NOCAPS NODIGIT 0 NOPUNCT films xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
FeTe fete F Fe FeT FeTe e Te eTe FeTe INITCAP NODIGIT 0 NOPUNCT FeTe XxXXx XxXx SAMEFONT SAMEFONTSIZE false false BASELINE true
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT false false SUBSCRIPT true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false SUBSCRIPT true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x SAMEFONT SAMEFONTSIZE false false SUBSCRIPT true
Se se S Se Se Se e Se Se Se INITCAP NODIGIT 0 NOPUNCT Se Xx Xx SAMEFONT HIGHERFONT false false BASELINE true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x DIFFERENTFONT LOWERFONT false true SUBSCRIPT false
using using u us usi usin g ng ing sing NOCAPS NODIGIT 0 NOPUNCT using xxxx x DIFFERENTFONT HIGHERFONT false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
scotch scotch s sc sco scot h ch tch otch NOCAPS NODIGIT 0 NOPUNCT scotch xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
tape tape t ta tap tape e pe ape tape NOCAPS NODIGIT 0 NOPUNCT tape xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
method method m me met meth d od hod thod NOCAPS NODIGIT 0 NOPUNCT method xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductivities superconductivities s su sup supe s es ies ties NOCAPS NODIGIT 0 NOPUNCT superconductivities xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
