Proton proton P Pr Pro Prot n on ton oton INITCAP NODIGIT 0 NOPUNCT Proton Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
incorporations incorporations i in inc inco s ns ons ions NOCAPS NODIGIT 0 NOPUNCT incorporations xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductivity superconductivity s su sup supe y ty ity vity NOCAPS NODIGIT 0 NOPUNCT superconductivity xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
cobalt cobalt c co cob coba t lt alt balt NOCAPS NODIGIT 0 NOPUNCT cobalt xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
oxyhydrate oxyhydrate o ox oxy oxyh e te ate rate NOCAPS NODIGIT 0 NOPUNCT oxyhydrate xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true


We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
report report r re rep repo t rt ort port NOCAPS NODIGIT 0 NOPUNCT report xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
evidence evidence e ev evi evid e ce nce ence NOCAPS NODIGIT 0 NOPUNCT evidence xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
proton proton p pr pro prot n on ton oton NOCAPS NODIGIT 0 NOPUNCT proton xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
incorporations incorporations i in inc inco s ns ons ions NOCAPS NODIGIT 0 NOPUNCT incorporations xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
newly newly n ne new newl y ly wly ewly NOCAPS NODIGIT 0 NOPUNCT newly xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
discovered discovered d di dis disc d ed red ered NOCAPS NODIGIT 0 NOPUNCT discovered xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
cobalt cobalt c co cob coba t lt alt balt NOCAPS NODIGIT 0 NOPUNCT cobalt xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
oxy oxy o ox oxy oxy y xy oxy oxy NOCAPS NODIGIT 0 NOPUNCT oxy xxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE true
hydrate hydrate h hy hyd hydr e te ate rate NOCAPS NODIGIT 0 NOPUNCT hydrate xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
