Linear linear L Li Lin Line r ar ear near INITCAP NODIGIT 0 NOPUNCT Linear Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
Temperature temperature T Te Tem Temp e re ure ture INITCAP NODIGIT 0 NOPUNCT Temperature Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Variation variation V Va Var Vari n on ion tion INITCAP NODIGIT 0 NOPUNCT Variation Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Penetration penetration P Pe Pen Pene n on ion tion INITCAP NODIGIT 0 NOPUNCT Penetration Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Depth depth D De Dep Dept h th pth epth INITCAP NODIGIT 0 NOPUNCT Depth Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
YBa yba Y YB YBa YBa a Ba YBa YBa INITCAP NODIGIT 0 NOPUNCT YBa XXx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT false
Cu cu C Cu Cu Cu u Cu Cu Cu INITCAP NODIGIT 0 NOPUNCT Cu Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE true
3 3 3 3 3 3 3 3 3 3 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X DIFFERENTFONT HIGHERFONT false false BASELINE true
7 7 7 7 7 7 7 7 7 7 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
− − − − − − − − − − ALLCAPS NODIGIT 1 HYPHEN − − − SAMEFONT SAMEFONTSIZE false false SUBSCRIPT true
δ δ δ δ δ δ δ δ δ δ NOCAPS NODIGIT 1 NOPUNCT δ x x SAMEFONT SAMEFONTSIZE false false SUBSCRIPT true
Thin thin T Th Thi Thin n in hin Thin INITCAP NODIGIT 0 NOPUNCT Thin Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
Films films F Fi Fil Film s ms lms ilms INITCAP NODIGIT 0 NOPUNCT Films Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Typeset typeset T Ty Typ Type t et set eset INITCAP NODIGIT 0 NOPUNCT Typeset Xxxx Xx DIFFERENTFONT LOWERFONT false false BASELINE false
using using u us usi usin g ng ing sing NOCAPS NODIGIT 0 NOPUNCT using xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
REVT revt R RE REV REVT T VT EVT REVT ALLCAPS NODIGIT 0 NOPUNCT REVT XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
E e E E E E E E E E ALLCAPS NODIGIT 1 NOPUNCT E X X SAMEFONT SAMEFONTSIZE false false BASELINE false
X x X X X X X X X X ALLCAPS NODIGIT 1 NOPUNCT X X X SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false


